column,missing_frac
dist2,0.9362837403054831
D7,0.9340992989467267
D13,0.8950926270870728
D14,0.8946946862193924
D12,0.8904104717715988
D6,0.8760676668811597
D9,0.8731229044603245
D8,0.8731229044603245
V157,0.8612371727571375
V163,0.8612371727571375
V162,0.8612371727571375
V161,0.8612371727571375
V158,0.8612371727571375
V153,0.8612371727571375
V138,0.8612371727571375
V155,0.8612371727571375
V154,0.8612371727571375
V149,0.8612371727571375
V148,0.8612371727571375
V147,0.8612371727571375
V146,0.8612371727571375
V142,0.8612371727571375
V141,0.8612371727571375
V140,0.8612371727571375
V156,0.8612371727571375
V139,0.8612371727571375
V152,0.8612270125647712
V159,0.8612270125647712
V143,0.8612270125647712
V144,0.8612270125647712
